5b71_E	5b71_E
6ivz_A	6ivz_A
6ivz_A	6iw2_D
6otc_A	6otc_A
7ly3_A	7ly3_A
7ly3_A	7e7x_A
7ly3_A	7e7x_B
6lxi_A	6lxi_A
6lxi_A	4qnp_A
4dtg_K	4dtg_K
6mto_T	6mto_T
6wmw_B	6wmw_B
6ion_A	6ion_A
6ks0_A	6ks0_A
6ks0_A	6ks1_A
1uj3_C	1uj3_C
2q8a_A	2q8a_A
2q8a_A	2q8b_A
6yio_B	6yio_B
6yio_B	3nfp_I
6yio_B	3iu3_I
6yio_B	3nfp_K
5gjs_A	5gjs_A
5gjs_A	3gbn_A
5gjs_A	6uyn_A
5gjs_A	5w6g_A
5gjs_A	6ml8_A
5gjs_A	6q0l_A
6jjp_F	6jjp_F
6jjp_F	6j15_D
6jjp_F	6j14_G
6jjp_F	5jxe_A
6jjp_F	6hig_B
6jjp_F	6jbt_F
6jjp_F	5jxe_B
7o52_U	7o52_U
6xp6_D	6xp6_D
5d93_A	5d93_A
5d93_A	4ij3_A
6pi7_A	6pi7_A
6phb_I	6phb_I
6phb_I	6b08_A
6phb_I	6b0a_A
5x0t_E	5x0t_E
3i50_E	3i50_E
2vxq_A	2vxq_A
6xxv_C	6xxv_C
1nfd_B	1nfd_B
6mvl_A	6mvl_A
7o9s_A	7o9s_A
4uuj_C	4uuj_C
4uuj_C	4msw_C
4uuj_C	6by3_C
1fsk_A	1fsk_A
6s3d_M	6s3d_M
3uc0_B	3uc0_B
4nik_A	4nik_A
6qig_A	6qig_A
3skj_E	3skj_E
4jlr_C	4jlr_C
4jlr_C	4jlr_S
1kb5_B	1kb5_B
5d72_B	5d72_B
5d72_B	6bfq_G
3mj9_A	3mj9_A
2hmi_B	2hmi_B
4hjj_A	4hjj_A
5hbt_B	5hbt_B
4uta_B	4uta_B
4uta_B	6flb_G
3o2d_A	3o2d_A
7ket_C	7ket_C
7ket_C	6xzw_D
3skj_F	3skj_F
4k2u_B	4k2u_B
4k2u_B	4k2u_A
1a2y_C	1a2y_C
1a2y_C	5vjo_F
1a2y_C	1dzb_X
1a2y_C	1fbi_X
1a2y_C	1jhl_A
7joo_C	7joo_C
5eu7_B	5eu7_B
3v6o_B	3v6o_B
3v6o_B	3v6o_A
7daa_A	7daa_A
4bz2_A	4bz2_A
7dc8_C	7dc8_C
4f37_A	4f37_A
1ezv_E	1ezv_E
6ye3_C	6ye3_C
6ye3_C	5utz_A
4ffv_B	4ffv_B
3l5w_I	3l5w_I
3l5w_I	5l6y_C
3l5w_I	3l5w_J
3l5w_I	4ps4_A
5tq0_A	5tq0_A
2jel_P	2jel_P
2xqb_A	2xqb_A
1ztx_E	1ztx_E
1oaz_A	1oaz_A
6h2y_D	6h2y_D
6cyf_A	6cyf_A
6b0s_C	6b0s_C
6oan_A	6oan_A
6lgw_F	6lgw_F
6lgw_F	6tou_G
6z2l_A	6z2l_A
5vqm_A	5vqm_A
3lh2_V	3lh2_V
3lh2_V	3lh2_S
5vkd_A	5vkd_A
6ewb_C	6ewb_C
6ewb_C	6n81_A
5fb8_C	5fb8_C
6pxh_B	6pxh_B
6ztr_I	6ztr_I
4aei_A	4aei_A
4yqx_M	4yqx_M
4yqx_M	4yue_C
3gbm_A	3gbm_A
3gbm_A	5dur_A
3gbm_A	6iuv_A
3gbm_A	4xnq_C
3gbm_A	4xnm_C
6wtu_A	6wtu_A
6k65_A	6k65_A
6k65_A	1dee_H
6k65_A	3qwo_C
2qqk_A	2qqk_A
5w2b_A	5w2b_A
2xtj_E	2xtj_E
2xtj_E	1cl7_I
6a77_A	6a77_A
6cxy_C	6cxy_C
4ht1_T	4ht1_T
4hlz_A	4hlz_A
5y9j_A	5y9j_A
4np4_A	4np4_A
6pe8_U	6pe8_U
2qqn_A	2qqn_A
6ppg_G	6ppg_G
5bv7_A	5bv7_A
5kw9_A	5kw9_A
6dfj_E	6dfj_E
6dfj_E	5vic_E
3nid_D	3nid_D
4ot1_A	4ot1_A
4d3c_A	4d3c_A
4xp9_C	4xp9_C
5ukr_G	5ukr_G
5nuz_C	5nuz_C
6umx_A	6umx_A
6umx_A	5f3b_C
6mi2_C	6mi2_C
4tsa_A	4tsa_A
6ywc_C	6ywc_C
1iqd_C	1iqd_C
3r1g_B	3r1g_B
2nr6_A	2nr6_A
5fhx_A	5fhx_A
2bdn_A	2bdn_A
3vi4_D	3vi4_D
3u30_A	3u30_A
6osh_K	6osh_K
5lsp_A	5lsp_A
6m58_A	6m58_A
6ogx_G	6ogx_G
6svl_J	6svl_J
6svl_J	6svl_Q
6svl_J	6svl_N
6svl_J	6svl_R
6svl_J	6svl_F
6svl_J	6svl_C
5x2q_D	5x2q_D
5ush_X	5ush_X
5vyf_F	5vyf_F
3zkm_A	3zkm_A
6cmg_A	6cmg_A
6crk_G	6crk_G
3uze_C	3uze_C
3uze_C	4ala_C
3uze_C	3uze_D
1tpx_A	1tpx_A
1tpx_A	4ma7_A
1tpx_A	4yxl_A
1tpx_A	6sv2_A
1wej_F	1wej_F
7n3c_C	7n3c_C
7n3c_C	7n3d_C
6ba5_M	6ba5_M
4ag4_A	4ag4_A
5vpl_A	5vpl_A
5vpl_A	3rvw_A
4kv5_C	4kv5_C
4kv5_C	4kxz_A
4kv5_C	7rco_A
2h9g_R	2h9g_R
